Low,Low,Low,Low
High,Low,Low,Low
High,Low,Low,High
High,Low,Low,High
High,Low,Low,High
High,Low,Low,High
High,Low,Low,High
High,Low,Low,High
High,Low,Low,High
High,Low,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,Low,High
High,High,High,High
High,High,High,High
High,High,High,High
High,High,High,High
High,High,High,High
High,High,High,High
